7,15,10,0,0,4,41,1,78,0,0,30,6,13
2,70,0,0,2,1,33,18,11,148,0,70,3,8
4,3,48,15,0,323,4,2,338,0,0,11,135,13
7,69,9,1,2,0,51,3,6,124,0,65,0,6
8,26,143,0,1,46,51,59,425,15,0,84,11,98
2,14,1,0,1374,0,3,0,68,158,873,18,14,5
3,29,5,3,325,4,8,3,303,99,893,36,2,15
3,2,82,20,0,302,0,2,45,1,0,3,15,6
7,14,29,2,0,14,41,17,162,4,0,60,18,30
8,348,156,3,3,70,416,104,490,186,0,938,22,179
9,30,10,2,0,3,33,8,16,20,0,72,2,21
8,61,24,2,0,6,43,16,42,36,0,103,3,10
5,1836,2849,500,102,2244,2982,9081,21360,1000,23,8211,5169,3179
7,20,18,0,2,3,45,1,45,15,0,49,3,22
10,90,21,1,0,6,106,17,47,66,0,187,1,23
7,8,158,6,0,201,17,3,279,1,0,28,72,20
6,23,5,0,0,2,20,1,12,15,0,8,0,1
7,59,28,1,2,6,32,29,127,20,0,102,12,37
5,2963,6526,716,349,4972,4405,8847,38604,1400,196,8821,7110,5173
8,97,24,0,1,5,154,25,54,59,0,201,7,32
7,531,947,103,17,342,1129,429,4329,236,2,2412,873,928
3,276,9,1,0,6,77,12,21,146,0,108,0,11
5,16,119,1,0,28,29,0,33,2,0,23,0,19
9,92,29,2,0,5,83,21,66,54,0,154,1,38
1,21,78,12752,2,2124,13,3,342,3,2,23,5734,29
7,24,30,1,0,32,39,1,182,6,0,28,28,22
8,51,17,8,3,5,60,11,83,30,0,92,5,35
9,71,20,2,2,5,46,7,108,49,0,117,7,23
5,6,24,0,0,35,4,4,269,0,0,4,125,7
5,0,52,15,0,160,5,0,251,1,0,3,134,14
2,101,7,0,2,7,73,11,21,104,0,57,4,15
7,21,36,5,1,54,30,2,288,8,0,54,49,18
7,105,347,12,1,176,164,91,1036,26,0,307,91,232
7,139,248,38,2,249,254,75,1585,61,1,535,265,207
4,5,293,26,0,1944,3,2,248,2,0,0,35,22
8,70,51,1,2,20,159,33,168,52,0,179,9,43
7,35,56,2,0,9,97,19,192,11,0,95,55,51
8,11,224,8,0,151,28,1,115,3,0,24,19,18
7,69,2,0,0,2,29,5,8,30,0,67,0,8
7,19,52,0,0,4,15,8,35,2,0,16,2,11
7,103,7,0,0,0,38,16,17,69,0,97,1,5
6,1,22,4,0,78,0,1,293,2,0,3,43,13
9,85,18,0,0,4,51,12,33,44,0,140,1,24
9,68,21,1,0,1,79,17,40,43,0,97,1,23
9,55,13,1,1,7,95,19,44,45,0,154,3,32
7,241,21,0,1,12,122,36,47,63,1,169,1,26
9,99,73,1,1,21,141,15,325,49,0,295,12,83
9,118,8,0,2,0,84,12,10,79,0,150,0,6
7,92,9,0,0,0,77,18,22,40,0,114,0,28
2,2,8,345,0,23,0,0,4,0,0,1,6,1
7,8,219,5,0,210,11,6,165,2,0,15,17,33
4,92,52,0,149,2,484,1165,470,520,12,276,31,113
9,98,26,1,0,6,77,16,38,127,0,153,3,18
7,140,9,0,0,0,27,3,12,59,0,56,0,12
5,0,47,0,0,220,0,0,22,0,0,0,1,0
9,77,23,0,0,4,98,9,49,47,0,128,2,15
5,5,51,17,0,53,3,0,75,0,0,9,26,5
6,39,36,2,2,9,68,9,144,40,0,76,1,39
8,39,26,0,0,10,36,10,100,42,1,53,16,17
7,90,7,0,1,1,31,8,6,117,0,66,1,9
7,52,4,1,0,3,35,6,20,29,0,51,1,8
10,44,8,0,0,2,30,6,9,30,0,54,1,4
4,2,48,5,0,126,0,0,28,0,0,0,21,1
6,15,176,1,0,83,9,1,26,0,0,2,3,15
4,83,455,54,5,728,193,131,5121,28,3,230,1980,301
8,61,13,1,1,4,64,15,38,39,0,124,0,19
2,307,2734,15242,13,4398,756,1078,7771,125,9,1001,7745,890
5,8,19,2,0,24,11,3,206,1,0,13,89,8
7,16,23,0,0,23,18,6,132,7,0,43,22,16
10,28,7,0,1,0,32,5,11,44,0,58,0,3
5,3,84,0,0,229,2,0,13,3,0,3,2,7
9,99,20,2,0,4,97,14,53,79,0,175,1,21
9,185,49,2,0,14,266,26,100,146,0,408,2,58
5,3,12,0,0,12,12,1,143,2,0,3,21,1
9,166,70,10,1,13,108,24,140,95,0,169,10,37
6,93,11,0,1,1,34,13,17,118,0,75,0,14
2,8,1,0,1764,0,39,0,46,14,1320,11,11,31
8,1243,451,11,18,113,873,217,1257,866,2,1987,119,388
2,27,0,0,112,0,7,28,182,21,2042,123,17,31
1,0,0,0,13,0,1,0,0,0,785,1,7,1
5,4,19,9,0,52,20,2,210,1,0,12,60,17
8,9,6,2,0,2,16,4,11,10,0,26,0,4
7,5,46,3,0,35,15,0,260,1,0,11,86,12
9,91,29,3,0,5,166,15,56,55,1,225,1,42
8,12,8,0,0,1,7,3,34,2,0,16,2,13
9,61,23,0,0,11,83,15,69,34,0,149,3,36
10,83,22,0,2,2,88,17,42,73,0,148,2,23
5,58,209,37,2,191,83,803,1180,31,1,403,255,167
2,210,677,50181,11,3653,283,342,3121,118,7,545,22917,330
7,18,190,1,0,93,10,2,66,1,0,21,4,17
6,0,69,1,0,407,0,0,47,0,0,0,6,5
9,90,33,0,0,7,88,12,68,69,0,174,0,25
4,0,11,3,0,239,2,0,5,0,0,0,0,2
7,4,162,46,0,174,5,2,218,1,0,17,61,12
6,54,40,1,1,31,51,39,118,20,0,145,7,43
9,79,28,0,1,4,92,15,57,90,0,221,1,32
9,142,24,1,3,7,80,10,49,51,0,119,0,20
6,11,27,1,0,9,15,3,124,1,1,21,25,7
6,0,147,3,0,270,0,0,34,0,0,1,11,5
2,8,0,0,943,0,3,0,124,83,2228,17,32,1
3,1,0,0,0,0,9,34,27,7,0,8,2,4
8,66,27,0,0,8,141,13,116,47,0,142,11,38
7,61,41,0,0,9,70,13,134,33,0,106,23,50
9,253,170,12,7,59,515,117,736,269,2,877,28,205
4,3,0,0,1901,0,1,2,60,54,1409,10,2,3
7,135,10,0,1,2,49,21,36,48,0,121,1,14
3,1,0,0,56,0,1,0,16,8,20,0,0,3
6,114,4,0,3,1,50,9,11,193,0,117,0,4
5,326,116,1,389,14,357,1327,465,511,26,1305,106,127
5,1,13,1,0,45,4,0,240,2,0,1,121,8
7,86,7,0,2,2,44,11,6,131,0,101,0,7
4,14,1,1,2574,0,6,2,82,44,2093,33,286,12
4,5,2,1,2989,2,3,1,111,109,1648,43,97,21
7,25,12,0,0,3,26,10,38,8,0,42,0,16
6,128,7,0,0,2,58,8,10,53,0,74,0,8
7,111,12,1,0,3,62,10,28,45,0,119,0,12
4,249,826,103,10,861,418,1074,8766,78,27,995,1708,681
7,7,10,2,0,11,20,4,94,3,0,7,16,18
6,4,178,0,0,402,2,1,78,1,0,0,12,5
9,37,5,0,0,0,33,8,47,17,0,57,1,13
8,125,18,0,2,5,66,6,24,52,0,94,2,14
7,2,11,0,0,5,7,2,167,0,0,4,34,5
7,56,17,0,0,1,36,10,14,13,0,74,5,23
2,1,2,24,43,0,3,1,25,11,219,2,0,0
1,0,0,0,48,0,1,0,13,2,95,0,1,0
9,94,25,1,0,5,81,8,35,129,0,124,1,15
8,18,10,0,0,3,38,4,23,0,0,22,4,17
7,70,2429,34,0,1439,95,16,927,26,0,138,88,300
5,31,1,1,1312,0,23,9,199,344,286,93,82,84
6,838,1108,97,90,706,1267,1560,8866,445,20,2839,1087,1583
8,105,32,0,0,5,50,23,76,176,0,114,1,20
5,43,5,0,1,0,28,6,16,24,0,36,0,6
9,84,21,0,0,5,87,12,55,84,0,157,2,29
7,102,12,1,0,4,68,30,21,159,0,147,0,17
4,9,0,0,16,1,14,148,34,14,11,28,0,9
6,114,18,0,1,0,27,6,31,30,0,61,2,13
5,114,9,0,0,4,44,6,28,31,0,58,0,14
9,66,54,0,0,12,67,13,62,42,0,169,3,34
7,16,25,0,0,34,27,3,260,11,0,39,20,21
7,143,2,0,0,0,61,5,6,193,0,98,1,10
5,117,7,0,1,2,65,6,10,207,0,115,1,4
5,13,164,0,1,43,20,1,20,5,0,16,0,19
4,107,12,2,0,2,54,12,16,41,0,121,0,11
6,149,27,2,0,6,99,15,22,57,0,84,0,29
6,50,10,0,3,4,18,16,12,7,0,59,1,7
5,141,8,0,0,2,44,21,17,170,1,114,2,10
7,94,14,1,5,2,40,15,11,107,0,51,0,6
8,69,12,1,2,2,45,12,13,57,0,95,0,16
9,116,9,0,1,2,66,18,18,51,0,114,1,16
3,1,0,0,75,0,0,0,1,2,16,1,0,0
3,0,0,0,0,0,0,0,8,0,0,5,0,4
2,5,7,0,1894,1,0,36,79,38,1485,7,119,24
2,20,2,0,361,0,4,0,100,55,198,15,90,15
3,9,1,0,123,0,2,0,10,21,59,4,15,1
8,74,51,11,2,26,91,18,209,68,0,194,24,41
5,83,2,0,1,5,76,6,16,159,0,62,1,8
10,5,10,0,0,3,21,1,20,2,0,28,0,5
6,29,133,2,0,63,17,3,45,6,0,23,2,22
9,183,31,4,2,6,172,40,39,98,0,278,1,31
7,43,45,1,0,45,53,13,205,14,0,49,30,30
7,98,5,0,4,3,132,8,19,36,0,78,0,22
7,48,9,0,0,1,20,14,22,21,0,44,0,16
